"tablescraper-selected-row src","tablescraper-selected-row src 2","tablescraper-selected-row src 3","tablescraper-selected-row src 4","tablescraper-selected-row src 5","tablescraper-selected-row src 6","spark-body-larger","datum-icon","tablescraper-selected-row","tablescraper-selected-row href","spark-body","tablescraper-selected-row 2","tablescraper-selected-row 3","spark-body-small","datum-icon 2","tablescraper-selected-row 4","datum-icon 3","datum-icon 4"
"https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/dY1f8Ia6YE9mSbVSqP5lsaVCA8Q.jpg","https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/vrMG2MTCKMg6DABWa9cGPUPmjn4.jpg","https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/CAvNKkXeZdmd3A87s8ZfY0C6Ugk.jpg","https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/Y2N150F70OTXvP78Smwui7dBz1I.jpg","https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/kGScEiFUb60jGR9o9fuilQUJ1fk.jpg","https://platform.cstatic-images.com/large/in/v2/8bff8bdc-83ac-59d2-b31e-13f635516bbc/a12cbbb4-000f-40da-8246-2796806eacdb/KTjAGXHxRCghDIuikoJHt7sFnn4.jpg","$33,000","40,582 mi.","Est. $606/mo","https://www.cars.com/vehicledetail/895dd67a-8128-4c92-8fde-51b88054e097/?attribution_type=isa","Certified 2023 Toyota RAV4 Hybrid LE","Good Deal","Certified Pre-Owned","Toyota Vallejo","4.8","Check Availability","Vallejo, CA (64 mi)",""
"https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/Ve3iSfGUyCoVWmvzOaG5IvwpcBc.jpg","https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/hfjzT5rUwN9yIdKe0bAmuO-6ZaM.jpg","https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/JoBeYchvOZJErGtHpa-ErceuNxM.jpg","https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/9el-ySTTvGT-Gh9fDgYOjPDuGIw.jpg","https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/Pyh_ToCR5WyKJm6BsjjQyWRSUiQ.jpg","https://platform.cstatic-images.com/large/in/v2/0a0033b9-8277-561c-bed4-54957b9df4f2/fad2526c-6063-4174-9ced-dc5c2f196e65/-8xBq0gJbnPmk4E5BEUky--zzr8.jpg","$14,788","189,111 mi.","Est. $272/mo","https://www.cars.com/vehicledetail/10faa731-a7a8-4402-bc71-b514a9b31744/","Used 2018 Toyota RAV4 Hybrid LE","Great Deal","","Auburn Toyota","5.0","Check Availability","Auburn, CA (19 mi)",""
"https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/c761fjYBNBgiD8Doh0inKr8_Z78.jpg","https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/K-DbjOiK2K18VeymfONl-VVseX8.jpg","https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/6R5mZuN5YfLc-ZpghwMMXszgCBg.jpg","https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/p6VrZ0OnZ43eAojM8-2QlM1ASSE.jpg","https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/KyS1wFcOmMD0HlIyqugt3gR_ShA.jpg","https://platform.cstatic-images.com/large/in/v2/72df6bae-4c77-5266-8a8a-b8e069b14f48/22f93573-a404-4b50-afa5-6f9e6ad483c8/S62TdMQ7XERY34OqssnYwL6nlYg.jpg","$34,441","24,689 mi.","Est. $633/mo","https://www.cars.com/vehicledetail/7696e97b-dd25-4ba6-bd51-3846f0b6c1e5/","Used 2025 Toyota RAV4 Hybrid XLE","Great Deal","","Maita Mazda","4.6","Check Availability","Sacramento, CA (9 mi)",""
"https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/EPcZupAin3aoAmf5aCi-n8iXm3E.jpg","https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/0jBg2g6kD0-LlFPSB6EODE5Z92s.jpg","https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/LOw8STPl6fmQYtTuoL-nuGu13Ow.jpg","https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/s8RzEnzHdP7KlRxMv7hgRjJrd3I.jpg","https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/PbPpF58mTiy77j29G97hJtSAgOo.jpg","https://platform.cstatic-images.com/large/in/v2/7887e9f6-8190-54d2-a2ff-3f370cc27dfd/90690501-8acd-4c46-b748-f75ede24529d/-KvemXFfl7yJIoQlnpoQ_AYbZc8.jpg","$29,983","60,209 mi.","Est. $551/mo","https://www.cars.com/vehicledetail/e8e66fed-188b-4fb3-baec-bf89afaff459/","Certified 2022 Toyota RAV4 Hybrid LE","Good Deal","Certified Pre-Owned","One Toyota Of Oakland","4.5","Check Availability","Oakland, CA (83 mi)","$500"
"https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/h03jwKDouPzZrDrs7mCbuWwaAgM.jpg","https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/RvWiAM3VhgT_hybWQfr2EgkMuC4.jpg","https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/zbuNiECuuWXwpu5GrkxmfTUahvs.jpg","https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/7ia66WwV7fL61gwJ99GqVf9azL0.jpg","https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/YZor8I-E1PC_C_jlK5c5KLaPTuY.jpg","https://platform.cstatic-images.com/large/in/v2/ae2c35e3-c799-5f6b-9b55-0c1062cc08d3/6833ce1b-5bd8-40fe-94dd-54205b475e6e/-fVIn5psgjAF3vLw1wBzoR-pilg.jpg","$39,998","8,845 mi.","Est. $735/mo","https://www.cars.com/vehicledetail/86479f70-746b-49f7-bcb6-55b0f3ee941c/","Used 2023 Toyota RAV4 Hybrid Limited","Good Deal","","Lexus of Sacramento","4.7","Check Availability","Sacramento, CA (9 mi)",""
"https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/U7B6qvZFl6EvlJRHHLulpTcuUIg.jpg","https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/8v_-0qMjbS8Lv8PFbGO2MgKfHG4.jpg","https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/_k9N0DU1LVdZ63j84DAltMBmY84.jpg","https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/FwLSq3VJMpkPjHT37leT5kh44ns.jpg","https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/eJ9QBZ3vbr_HwtbgNFeyN6j-Ht4.jpg","https://platform.cstatic-images.com/large/in/v2/3fde04b1-dd2d-5ccc-be9d-7333547fb34c/93538cd6-f2e2-48de-910a-913fab2b8813/UGdHSY4vCNW6gBWh-VG56pwFhJA.jpg","$38,995","30,375 mi.","Est. $716/mo","https://www.cars.com/vehicledetail/a53fdc93-1304-4865-a115-aba5d5c82cd0/","Used 2024 Toyota RAV4 Hybrid SE","Good Deal","","AutoNation Subaru Roseville","4.8","Check Availability","Roseville, CA (4 mi)",""
"https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/cD06H83uStevQXczGor3ebjxXFM.jpg","https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/oaICewhN212ujOrVnTgyDq6YJ2M.jpg","https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/f81uDuFSZpRDbhd2t_GlpyKfyE8.jpg","https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/17Xzdxi7n0Lpshv1mrF1ffKpSoc.jpg","https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/xjhVNO8sWQn1LpZc7fJA5T8VI5E.jpg","https://platform.cstatic-images.com/large/in/v2/cf07eead-43ab-447e-ae91-c4aab41ea58c/e204bb49-af0a-47f1-8538-79bbe574796c/RtRPZUqcdfxAWlS6wsIDWbMSfv0.jpg","$25,999","95,897 mi.","Est. $478/mo","https://www.cars.com/vehicledetail/e843dd22-6754-437f-a003-501295f019dd/","Used 2020 Toyota RAV4 Hybrid SE","Good Deal","","Roseville Toyota","4.0","Check Availability","Roseville, CA (4 mi)",""
"https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/Jx9siy2J9lMiGajp34rcTU1ckQo.jpg","https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/3LjPRiymCb0PL-SdSH10rlNzr-8.jpg","https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/Ah5KcZDDAdzwaSeWFHswokcXN7g.jpg","https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/BysHzudyXXhyJlcSZpyBC2eJj4M.jpg","https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/gBaJeOzhGZ_YwJrWb54Vxdz6BnA.jpg","https://platform.cstatic-images.com/large/in/v2/c46fafa6-d1cb-58dc-9b73-4215ab4c7f0c/ce562421-9fb9-44ae-a037-1f40f1dd2500/E2kRGUWqeGwWH41jjsv2esGleig.jpg","$31,982","53,801 mi.","Est. $588/mo","https://www.cars.com/vehicledetail/bb724e85-6452-4b58-b85e-c848a4f06566/","Used 2022 Toyota RAV4 Hybrid SE","Good Deal","High Demand","Manly Hyundai","4.8","Check Availability","Santa Rosa, CA (81 mi)",""
"https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/e0EMXcN8XxYzM2kWktvIspRhuX0.jpg","https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/UXboNHV2bQC8rXVhYF1mApB5yTc.jpg","https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/_J_LmnRTaXlodaeK77df7Ob9w3k.jpg","https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/7zJCsNCdeuTx8na1a3-QrFlFMPg.jpg","https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/w7r_UYdtHvdef01N9_HUus44moA.jpg","https://platform.cstatic-images.com/large/in/v2/c82aee1d-93c7-5cf7-a67e-afe54177e116/07e11b17-50f2-43a1-bb03-ccf1f67aa4e6/0aL-7qcpYZRMBsqMOJACa71R5bU.jpg","$35,999","26,748 mi.","Est. $661/mo","https://www.cars.com/vehicledetail/75585a60-e929-48b4-bff8-3a7507d50e68/","Used 2025 Toyota RAV4 Hybrid XLE","Good Deal","High Demand","Concord Toyota","4.7","Check Availability","Concord, CA (66 mi)",""
"https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/zIsRiBCIh4I96pa8QHxT870GeGI.jpg","https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/e4PAYlPDknDYY-ShAqywQTELyT4.jpg","https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/e5_xIjm-t15MNcB5DdBLDXn_sMA.jpg","https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/UcSD9ZLTa08JCKpzSZ_GLr0xW3s.jpg","https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/7osKhBgtGGI-8Kw-juwFBl2hWKU.jpg","https://platform.cstatic-images.com/large/in/v2/aa27d4a9-0c11-5213-931f-73d752562a3e/c5575828-cc1c-4876-a800-e9301ce67c98/L7nmwC7v9bLvcd0XDEbqueRmagE.jpg","$27,786","101,205 mi.","Est. $510/mo","https://www.cars.com/vehicledetail/74eefa0e-936c-4ef9-8b77-d87ecc873f9c/","Used 2021 Toyota RAV4 Hybrid XSE","Good Deal","","Folsom Lake Honda","4.7","Check Availability","Rancho Cordova, CA (6 mi)",""
"https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/Sr5-m3vymAZl8YUhA0W2rFkIEus.jpg","https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/TIcTEn-U71CPQW-I7th3mJcnOE4.jpg","https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/6tDXAlTFMA2UGe2iT_P6vXFZuG4.jpg","https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/lxWMa_EUxLGtxvRx-R5B-R5Yk0Q.jpg","https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/mzeQKgKk--9ItoxYm5WoWd5lXI0.jpg","https://platform.cstatic-images.com/large/in/v2/9332b006-0b3a-5de8-b70b-f9242da79eb9/c16c9cab-7f5e-45c1-a9bc-bbd0af526923/F_bctDCujviBFynSSH6RXqmMA0Y.jpg","$27,991","82,304 mi.","Est. $514/mo","https://www.cars.com/vehicledetail/fd715cc2-baa5-4915-956b-c423f8c7e71b/","Used 2020 Toyota RAV4 Hybrid XSE","Good Deal","High Demand","Roseville Hyundai","4.7","Check Availability","Roseville, CA (4 mi)",""
"https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/aAhL1h8WAXrQb04lLJM9w3GL9bI.jpg","https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/HxAxwozRVaML4aUnX9RjPADSsSU.jpg","https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/4AN0jfqVBgviNdpMtUufIp4Y6Rg.jpg","https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/yhkFwRbtRSRvo-Yv9okw9HHFnyE.jpg","https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/9ssEaxaj3hWnsPsSOzSneSn4jxc.jpg","https://platform.cstatic-images.com/large/in/v2/4a0a00d0-556e-513c-805e-ec078af2eb68/4e3b0028-e684-4a55-8f4d-96399693466c/wBHSBaGozZ7ihoeNT8N31MEDnkI.jpg","$30,971","108,562 mi.","Est. $569/mo","https://www.cars.com/vehicledetail/51f85f7c-0e18-4f5b-8841-1fb18b6fd03d/","Certified 2024 Toyota RAV4 Hybrid XLE Premium","Good Deal","Certified Pre-Owned","Fremont Toyota","4.6","Check Availability","Fremont, CA (91 mi)",""
"https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/qrxwDm6LtUpVMird2d009VYLFXA.jpg","https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/XBrABIDojJWcCCHJPwHbCtxz4xo.jpg","https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/zybVyv69kNbkj8uWRgCH2RsgMLM.jpg","https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/Z4HYvdnuy9ZB3BlkatxstgBAAak.jpg","https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/Vl0Jwxnq6C4ZCHU8NNbcn3-cTeI.jpg","https://platform.cstatic-images.com/large/in/v2/a97d2c64-207a-5ed2-a945-298ade4d7af7/6dca4bc3-343f-49f0-9a6f-0adf94c89da7/77393_-0OPRp62pyfCzyQdb2Gyc.jpg","$38,500","4,172 mi.","Est. $707/mo","https://www.cars.com/vehicledetail/d884f995-b7d5-4866-816f-01677ef151c9/","Used 2025 Toyota RAV4 Hybrid XLE","Good Deal","","INFINITI ROSEVILLE","4.8","Check Availability","Roseville, CA (4 mi)","$400"
"https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/KkMJ1-YwyK5K38SBOzTNhp6fbTE.jpg","https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/K7Av4bGvJloxvkd8JUiVtW5xiXg.jpg","https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/6yKoNrhDgjNR5ltd0kK9-N0Md4E.jpg","https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/hNQZ8FN5awqYiy5q_d9c0SNDBNk.jpg","https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/BXGMVoGoU3Chc--cD33YCv3Br0U.jpg","https://platform.cstatic-images.com/large/in/v2/5fa3000e-cdf9-5f3a-8b57-c473f99cfc47/69a7ee9d-1a8b-48ab-b196-45e8015a82cb/ogJeH2I_E5zDKxa-h2E3Hsjjug8.jpg","$27,993","63,275 mi.","Est. $514/mo","https://www.cars.com/vehicledetail/6784b286-3855-4175-a522-353516fab7ec/","Used 2023 Toyota RAV4 Hybrid XLE","Good Deal","","Folsom Lake Hyundai","4.6","Check Availability","Folsom, CA (6 mi)","$1.4K"
