"tw-object-cover src","tw-flex 3","tw-w-full","tw-text-[18px]"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94898_55fd%40a.jpg&w=3840&q=75","L","2022 Trek Slash 9.8 GX","$2,250"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94891_9aehk4.jpg&w=3840&q=75","L","2023 Santa Cruz 5010 S Carbon C","$2,230"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94886_ffa9s5.jpg&w=3840&q=75","M","2022 Scott Scale 930","$1,341"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241697_b91ksf.jpg&w=3840&q=75","M","2022 Rocky Mountain Instinct Carbon 50","$2,199"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94847_f84%40fa.jpg&w=3840&q=75","XL","1996 Gary Fisher Hoo Koo E Koo","$250"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94835_e1blaj.JPG&w=3840&q=75","M","2023 Trek Top Fuel 9.8 XT Di2 Gen 4","$2,500"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94828_73dah5.jpg&w=3840&q=75","L","2021 Specialized Stumpjumper EVO Expert","$1,170"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94819_4dbahh.jpeg&w=3840&q=75","M","2010 Kona One20 Primo","$700"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94817_f4ehas.jpg&w=3840&q=75","L","2023 Specialized Stumpjumper EVO Comp Carbon 29","$1,990"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94789_3a9gda.jpg&w=3840&q=75","M","2022 Scott Spark 930","$2,084"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94758_a19kfa.jpg&w=3840&q=75","M","2024 Santa Cruz Nomad S Carbon C","$3,200"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_221391_8b0jkh.jpg&w=3840&q=75","L","2016 Yeti Cycles SB6c - X01","$2,099"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94733_11fkfh.jpeg&w=3840&q=75","L","2021 Rocky Mountain Instinct Carbon 70","$2,377"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94726_847ksj.webp&w=3840&q=75","XL","2022 Canyon Lux CF SLX 9 LTD","$2,450"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94724_ab83hl.jpeg&w=3840&q=75","L","2021 Devinci Troy Carbon/Alu 29 NX/GX","$2,000"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94722_185a3h.jpg&w=3840&q=75","M","2013 Trek Superfly 100 (Gary Fisher Collection)","$500"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94711_73e5aa.jpeg&w=3840&q=75","M/L","2026 Trek Navigator 1.0 WSD - Women's","$150"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94710_151alf.jpg&w=3840&q=75","S","2025 Cannondale Habit Carbon 2","$2,195"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94695_639aaa.jpg&w=3840&q=75","M","2023 Trek roscoe 6","$670"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94630_4029%40d.jpeg&w=3840&q=75","L","2020 Scott Spark 950","$1,050"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94625_a6dfhf.jpg&w=3840&q=75","M","2024 Pivot Cycles Les (X0)","$3,999"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94618_261ddk.jpeg&w=3840&q=75","L","2022 Spot Rocker SS 29","$2,850"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94598_217jdf.webp&w=3840&q=75","M/L","2021 Trek Slash 9.9 XO1","$3,200"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241921_a9c9da.jpg&w=3840&q=75","M","2024 Intense Cycles Sniper XC PRO","$3,599"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239094_cd3ad5.jpg&w=3840&q=75","L","2024 Trek Slash 9 GX AXS T-Type Gen 6","$4,099"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238970_25f3la.jpg&w=3840&q=75","M","2023 Santa Cruz Megatower Carbon C S","$3,799.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238708_70fksf.jpg&w=3840&q=75","L","2024 Orbea Occam SL H30","$1,884.82"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238592_af26ll.jpg&w=3840&q=75","M","2024 Scott Genius ST 900 Tuned","$5,699.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238611_116sk3.jpg&w=3840&q=75","L","2023 Trek Supercaliber 9.9 XX1 AXS Gen 1","$5,999"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_237824_96bafk.jpeg&w=3840&q=75","M","2020 Scott Genius 950","$1,699"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238035_4c89hd.jpg&w=3840&q=75","L","2022 BMC Fourstroke 01 LT TWO","$3,674.72"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238089_31blhh.jpeg&w=3840&q=75","L","2022 BMC Twostroke AL ONE","$949.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_237926_058lf5.jpeg&w=3840&q=75","XL","2022 SCOR 4060 ST","$2,268.3"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_235917_e13asa.jpg&w=3840&q=75","M","2022 Intense Cycles Sniper T","$4,385.34"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_236717_2b6d3f.jpg&w=3840&q=75","L","2023 Kona Hei Hei CR DL","$3,799.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_236496_3b2ffa.jpg&w=3840&q=75","S","2017 Cannondale Scalpel-Si Carbon 2 Eagle","$1,599"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_221648_0bes%405.jpg&w=3840&q=75","XL","2023 Norco Shore 1","$2,299"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_220655_a48366.jpg&w=3840&q=75","M","2016 Scott Scale 700 SL","$1,499"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241525_a71dff.jpg&w=3840&q=75","XL","2023 Santa Cruz Megatower C S","$2,599"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242949_b1c%40sf.jpg&w=3840&q=75","XL","2024 Santa Cruz Megatower C S","$3,514.38"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242887_4cdlaf.jpg&w=3840&q=75","L","2025 Trek Supercaliber SL 9.7 GX AXS T-Type Gen 2","$4,499"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242808_c6fags.jpeg&w=3840&q=75","M","2017 Santa Cruz 5010 CC X01","$2,142.58"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242853_a2dg9g.jpeg&w=3840&q=75","L","2022 Santa Cruz Chameleon AL MX","$1,469.41"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242744_0a3dhd.jpeg&w=3840&q=75","XL","2025 Specialized Chisel","$1,395.94"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242351_651f3o.jpg&w=3840&q=75","M","2024 Specialized Status 140 2","$2,399"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242051_1bdaad.jpg&w=3840&q=75","19.5""","2022 Trek Slash 9.8 GX","$2,131.03"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241983_66dd6s.jpg&w=3840&q=75","XL","2021 Scott Spark 960","$1,101.91"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_242015_581fd%40.jpg&w=3840&q=75","XL","2024 Santa Cruz 5010 Carbon C S MX","$3,674.72"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241976_f45spl.jpg&w=3840&q=75","L","2023 Cannondale Habit 4","$1,713.89"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241268_3adjd4.jpg&w=3840&q=75","M","2024 Orbea Rallon M20","$3,338.35"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241698_d32fsd.jpg&w=3840&q=75","L","2024 Scott Genius ST 920","$2,999"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241669_fd0fff.jpeg&w=3840&q=75","M","2016 Scott Spark 700 Ultimate Di2","$2,011.06"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Finventories%2FINV-96700%2Finventories_241412__218571_original.jpeg&w=3840&q=75","L","2021 Trek Fuel EX 8 GX","$1,616.46"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241579_a74gd5.jpg&w=3840&q=75","M","2023 Salsa Horsethief Deore 12","$1,954"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241429_0fcf%406.jpeg&w=3840&q=75","L","2023 Cannondale Habit 4","$1,159.9"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239336_7b0dd4.jpg&w=3840&q=75","XL","2024 Trek Top Fuel 9.9 X0 AXS T-Type Gen 3","$5,795"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239123_60bkdj.jpg&w=3840&q=75","M","2022 Niner WFO 9 RDO 3-Star GX Eagle","$2,849.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238815_afaalk.jpg&w=3840&q=75","XL","2023 Ibis Ripmo V2S XT","$4,369.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238735_7059aa.jpg&w=3840&q=75","M","2024 Santa Cruz Megatower CC X0 AXS RSV Coil","$5,486.35"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239287_3d0s3g.jpg&w=3840&q=75","XL","2022 Evil Bikes Following X01","$4,409.82"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239005_d4dlsf.jpg&w=3840&q=75","L","2024 Trek Slash 9 GX AXS T-Type Gen 6","$3,527.71"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238776_ecbhj9.jpg&w=3840&q=75","L","2017 Specialized S-Works Enduro 29/6Fattie","$2,469.05"